VenueCode,TemplateName,SectionCode,Row,Seat,Priority,StatusCode,Aisle,RowSort,SeatSort,Image
1953,CULLENTHEATER1,SECBB,C,1,71,A,1,3,1
1953,CULLENTHEATER1,SECBB,C,2,69,A,0,3,2
1953,CULLENTHEATER1,SECBB,C,3,67,A,0,3,3
1953,CULLENTHEATER1,SECBB,C,4,65,A,0,3,4
1953,CULLENTHEATER1,SECBB,C,5,63,A,0,3,5
1953,CULLENTHEATER1,SECBB,C,6,61,A,0,3,6
1953,CULLENTHEATER1,SECBB,C,7,59,A,0,3,7
1953,CULLENTHEATER1,SECBB,C,8,60,A,0,3,8
1953,CULLENTHEATER1,SECBB,C,9,62,A,0,3,9
1953,CULLENTHEATER1,SECBB,C,10,64,A,0,3,10
1953,CULLENTHEATER1,SECBB,C,11,66,A,0,3,11
1953,CULLENTHEATER1,SECBB,C,12,68,A,0,3,12
1953,CULLENTHEATER1,SECBB,C,13,70,A,0,3,13
1953,CULLENTHEATER1,SECBB,C,14,72,A,1,3,14
1953,CULLENTHEATER1,SECBB,D,1,13,A,1,4,1
1953,CULLENTHEATER1,SECBB,D,2,11,A,0,4,2
1953,CULLENTHEATER1,SECBB,D,3,9,A,0,4,3
1953,CULLENTHEATER1,SECBB,D,4,7,A,0,4,4
1953,CULLENTHEATER1,SECBB,D,5,5,A,0,4,5
1953,CULLENTHEATER1,SECBB,D,6,3,A,0,4,6
1953,CULLENTHEATER1,SECBB,D,7,1,A,0,4,7
1953,CULLENTHEATER1,SECBB,D,8,2,A,0,4,8
1953,CULLENTHEATER1,SECBB,D,9,4,A,0,4,9
1953,CULLENTHEATER1,SECBB,D,10,6,A,0,4,10
1953,CULLENTHEATER1,SECBB,D,11,8,A,0,4,11
1953,CULLENTHEATER1,SECBB,D,12,10,A,0,4,12
1953,CULLENTHEATER1,SECBB,D,13,12,A,0,4,13
1953,CULLENTHEATER1,SECBB,D,14,14,A,1,4,14
1953,CULLENTHEATER1,SECBB,E,1,41,A,1,5,1
1953,CULLENTHEATER1,SECBB,E,2,39,A,0,5,2
1953,CULLENTHEATER1,SECBB,E,3,37,A,0,5,3
1953,CULLENTHEATER1,SECBB,E,4,35,A,0,5,4
1953,CULLENTHEATER1,SECBB,E,5,33,A,0,5,5
1953,CULLENTHEATER1,SECBB,E,6,31,A,0,5,6
1953,CULLENTHEATER1,SECBB,E,7,29,A,0,5,7
1953,CULLENTHEATER1,SECBB,E,8,30,A,0,5,8
1953,CULLENTHEATER1,SECBB,E,9,32,A,0,5,9
1953,CULLENTHEATER1,SECBB,E,10,34,A,0,5,10
1953,CULLENTHEATER1,SECBB,E,11,36,A,0,5,11
1953,CULLENTHEATER1,SECBB,E,12,38,A,0,5,12
1953,CULLENTHEATER1,SECBB,E,13,40,A,0,5,13
1953,CULLENTHEATER1,SECBB,E,14,42,A,1,5,14
1953,CULLENTHEATER1,SECBB,F,1,97,A,1,6,1
1953,CULLENTHEATER1,SECBB,F,2,95,A,0,6,2
1953,CULLENTHEATER1,SECBB,F,3,93,A,0,6,3
1953,CULLENTHEATER1,SECBB,F,4,91,A,0,6,4
1953,CULLENTHEATER1,SECBB,F,5,89,A,0,6,5
1953,CULLENTHEATER1,SECBB,F,6,87,A,0,6,6
1953,CULLENTHEATER1,SECBB,F,7,85,A,0,6,7
1953,CULLENTHEATER1,SECBB,F,8,86,A,0,6,8
1953,CULLENTHEATER1,SECBB,F,9,88,A,0,6,9
1953,CULLENTHEATER1,SECBB,F,10,90,A,0,6,10
1953,CULLENTHEATER1,SECBB,F,11,92,A,0,6,11
1953,CULLENTHEATER1,SECBB,F,12,94,A,0,6,12
1953,CULLENTHEATER1,SECBB,F,13,96,A,0,6,13
1953,CULLENTHEATER1,SECBB,F,14,98,A,1,6,14
1953,CULLENTHEATER1,SECBB,G,1,153,A,1,7,1
1953,CULLENTHEATER1,SECBB,G,2,151,A,0,7,2
1953,CULLENTHEATER1,SECBB,G,3,149,A,0,7,3
1953,CULLENTHEATER1,SECBB,G,4,147,A,0,7,4
1953,CULLENTHEATER1,SECBB,G,5,145,A,0,7,5
1953,CULLENTHEATER1,SECBB,G,6,143,A,0,7,6
1953,CULLENTHEATER1,SECBB,G,7,141,A,0,7,7
1953,CULLENTHEATER1,SECBB,G,8,142,A,0,7,8
1953,CULLENTHEATER1,SECBB,G,9,144,A,0,7,9
1953,CULLENTHEATER1,SECBB,G,10,146,A,0,7,10
1953,CULLENTHEATER1,SECBB,G,11,148,A,0,7,11
