VenueCode,TemplateName,SectionCode,Row,Seat,Priority,StatusCode,Aisle,RowSort,SeatSort,Image
3929,CKMConcertHall1,RSVFL,G,36,232,A,0,5,5,
3929,CKMConcertHall1,RSVFL,G,37,234,A,0,5,4,
3929,CKMConcertHall1,RSVFL,G,38,236,A,0,5,3,
3929,CKMConcertHall1,RSVFL,G,39,238,A,0,5,2,
3929,CKMConcertHall1,RSVFL,G,40,240,A,1,5,1,
3929,CKMConcertHall1,RSVFL,H,1,279,A,1,6,42,
3929,CKMConcertHall1,RSVFL,H,2,277,A,0,6,41,
3929,CKMConcertHall1,RSVFL,H,3,275,A,0,6,40,
3929,CKMConcertHall1,RSVFL,H,4,273,A,0,6,39,
3929,CKMConcertHall1,RSVFL,H,5,271,A,0,6,38,
3929,CKMConcertHall1,RSVFL,H,6,269,A,0,6,37,
3929,CKMConcertHall1,RSVFL,H,7,267,A,0,6,36,
3929,CKMConcertHall1,RSVFL,H,8,265,A,0,6,35,
3929,CKMConcertHall1,RSVFL,H,9,263,A,0,6,34,
3929,CKMConcertHall1,RSVFL,H,10,261,A,0,6,33,
3929,CKMConcertHall1,RSVFL,H,11,259,A,0,6,32,
3929,CKMConcertHall1,RSVFL,H,12,257,A,0,6,31,
3929,CKMConcertHall1,RSVFL,H,13,255,A,0,6,30,
3929,CKMConcertHall1,RSVFL,H,14,253,A,0,6,29,
3929,CKMConcertHall1,RSVFL,H,15,251,A,0,6,28,
3929,CKMConcertHall1,RSVFL,H,16,249,A,0,6,27,
3929,CKMConcertHall1,RSVFL,H,17,247,A,0,6,26,
3929,CKMConcertHall1,RSVFL,H,18,245,A,0,6,25,
3929,CKMConcertHall1,RSVFL,H,19,243,A,0,6,24,
3929,CKMConcertHall1,RSVFL,H,20,241,A,0,6,21,
3929,CKMConcertHall1,RSVFL,H,21,242,A,0,6,20,
3929,CKMConcertHall1,RSVFL,H,22,244,A,0,6,19,
3929,CKMConcertHall1,RSVFL,H,23,246,A,0,6,18,
3929,CKMConcertHall1,RSVFL,H,24,248,A,0,6,17,
3929,CKMConcertHall1,RSVFL,H,25,250,A,0,6,16,
3929,CKMConcertHall1,RSVFL,H,26,252,A,0,6,15,
3929,CKMConcertHall1,RSVFL,H,27,254,A,0,6,14,
3929,CKMConcertHall1,RSVFL,H,28,256,A,0,6,13,
3929,CKMConcertHall1,RSVFL,H,29,258,A,0,6,12,
3929,CKMConcertHall1,RSVFL,H,30,260,A,0,6,11,
3929,CKMConcertHall1,RSVFL,H,31,262,A,0,6,10,
3929,CKMConcertHall1,RSVFL,H,32,264,A,0,6,9,
3929,CKMConcertHall1,RSVFL,H,33,266,A,0,6,8,
3929,CKMConcertHall1,RSVFL,H,34,268,A,0,6,7,
3929,CKMConcertHall1,RSVFL,H,35,270,A,0,6,6,
3929,CKMConcertHall1,RSVFL,H,36,272,A,0,6,5,
3929,CKMConcertHall1,RSVFL,H,37,274,A,0,6,4,
3929,CKMConcertHall1,RSVFL,H,38,276,A,0,6,3,
3929,CKMConcertHall1,RSVFL,H,39,278,A,0,6,2,
3929,CKMConcertHall1,RSVFL,H,40,280,A,1,6,1,
3929,CKMConcertHall1,RSVFL,I,1,319,A,1,7,42,
3929,CKMConcertHall1,RSVFL,I,2,317,A,0,7,41,
3929,CKMConcertHall1,RSVFL,I,3,315,A,0,7,40,
3929,CKMConcertHall1,RSVFL,I,4,313,A,0,7,39,
3929,CKMConcertHall1,RSVFL,I,5,311,A,0,7,38,
3929,CKMConcertHall1,RSVFL,I,6,309,A,0,7,37,
3929,CKMConcertHall1,RSVFL,I,7,307,A,0,7,36,
3929,CKMConcertHall1,RSVFL,I,8,305,A,0,7,35,
3929,CKMConcertHall1,RSVFL,I,9,303,A,0,7,34,
3929,CKMConcertHall1,RSVFL,I,10,301,A,0,7,33,
3929,CKMConcertHall1,RSVFL,I,11,299,A,0,7,32,
3929,CKMConcertHall1,RSVFL,I,12,297,A,0,7,31,
3929,CKMConcertHall1,RSVFL,I,13,295,A,0,7,30,
3929,CKMConcertHall1,RSVFL,I,14,293,A,0,7,29,
3929,CKMConcertHall1,RSVFL,I,15,291,A,0,7,28,
3929,CKMConcertHall1,RSVFL,I,16,289,A,0,7,27,
3929,CKMConcertHall1,RSVFL,I,17,287,A,0,7,26,
3929,CKMConcertHall1,RSVFL,I,18,285,A,0,7,25,
3929,CKMConcertHall1,RSVFL,I,19,283,A,0,7,24,
3929,CKMConcertHall1,RSVFL,I,20,281,A,0,7,21,
