VenueCode,TemplateName,SectionCode,Row,Seat,Priority,StatusCode,Aisle,RowSort,SeatSort,Image
972,DANAAUDITORIUM1,LTCTR,L,125,311,A,0,12,2
972,DANAAUDITORIUM1,LTCTR,L,123,309,A,0,12,3
972,DANAAUDITORIUM1,LTCTR,L,121,307,A,0,12,4
972,DANAAUDITORIUM1,LTCTR,L,119,305,A,0,12,5
972,DANAAUDITORIUM1,LTCTR,L,117,303,A,0,12,6
972,DANAAUDITORIUM1,LTCTR,L,115,301,A,0,12,7
972,DANAAUDITORIUM1,LTCTR,L,113,299,A,0,12,8
972,DANAAUDITORIUM1,LTCTR,L,111,297,A,0,12,9
972,DANAAUDITORIUM1,LTCTR,L,109,295,A,0,12,10
972,DANAAUDITORIUM1,LTCTR,L,107,293,A,0,12,11
972,DANAAUDITORIUM1,LTCTR,L,105,291,A,0,12,12
972,DANAAUDITORIUM1,LTCTR,L,103,289,A,0,12,13
972,DANAAUDITORIUM1,LTCTR,L,101,287,A,1,12,14
972,DANAAUDITORIUM1,LTCTR,M,127,341,A,1,13,1
972,DANAAUDITORIUM1,LTCTR,M,125,339,A,0,13,2
972,DANAAUDITORIUM1,LTCTR,M,123,337,A,0,13,3
972,DANAAUDITORIUM1,LTCTR,M,121,335,A,0,13,4
972,DANAAUDITORIUM1,LTCTR,M,119,333,A,0,13,5
972,DANAAUDITORIUM1,LTCTR,M,117,331,A,0,13,6
972,DANAAUDITORIUM1,LTCTR,M,115,329,A,0,13,7
972,DANAAUDITORIUM1,LTCTR,M,113,327,A,0,13,8
972,DANAAUDITORIUM1,LTCTR,M,111,325,A,0,13,9
972,DANAAUDITORIUM1,LTCTR,M,109,323,A,0,13,10
972,DANAAUDITORIUM1,LTCTR,M,107,321,A,0,13,11
972,DANAAUDITORIUM1,LTCTR,M,105,319,A,0,13,12
972,DANAAUDITORIUM1,LTCTR,M,103,317,A,0,13,13
972,DANAAUDITORIUM1,LTCTR,M,101,315,A,1,13,14
972,DANAAUDITORIUM1,LTCTR,N,127,369,A,1,14,1
972,DANAAUDITORIUM1,LTCTR,N,125,367,A,0,14,2
972,DANAAUDITORIUM1,LTCTR,N,123,365,A,0,14,3
972,DANAAUDITORIUM1,LTCTR,N,121,363,A,0,14,4
972,DANAAUDITORIUM1,LTCTR,N,119,361,A,0,14,5
972,DANAAUDITORIUM1,LTCTR,N,117,359,A,0,14,6
972,DANAAUDITORIUM1,LTCTR,N,115,357,A,0,14,7
972,DANAAUDITORIUM1,LTCTR,N,113,355,A,0,14,8
972,DANAAUDITORIUM1,LTCTR,N,111,353,A,0,14,9
972,DANAAUDITORIUM1,LTCTR,N,109,351,A,0,14,10
972,DANAAUDITORIUM1,LTCTR,N,107,349,A,0,14,11
972,DANAAUDITORIUM1,LTCTR,N,105,347,A,0,14,12
972,DANAAUDITORIUM1,LTCTR,N,103,345,A,0,14,13
972,DANAAUDITORIUM1,LTCTR,N,101,343,A,1,14,14
972,DANAAUDITORIUM1,LTCTR,O,127,397,A,1,15,1
972,DANAAUDITORIUM1,LTCTR,O,125,395,A,0,15,2
972,DANAAUDITORIUM1,LTCTR,O,123,393,A,0,15,3
972,DANAAUDITORIUM1,LTCTR,O,121,391,A,0,15,4
972,DANAAUDITORIUM1,LTCTR,O,119,389,A,0,15,5
972,DANAAUDITORIUM1,LTCTR,O,117,387,A,0,15,6
972,DANAAUDITORIUM1,LTCTR,O,115,385,A,0,15,7
972,DANAAUDITORIUM1,LTCTR,O,113,383,A,0,15,8
972,DANAAUDITORIUM1,LTCTR,O,111,381,A,0,15,9
972,DANAAUDITORIUM1,LTCTR,O,109,379,A,0,15,10
972,DANAAUDITORIUM1,LTCTR,O,107,377,A,0,15,11
972,DANAAUDITORIUM1,LTCTR,O,105,375,A,0,15,12
972,DANAAUDITORIUM1,LTCTR,O,103,373,A,0,15,13
972,DANAAUDITORIUM1,LTCTR,O,101,371,A,1,15,14
972,DANAAUDITORIUM1,LTCTR,P,127,425,A,1,16,1
972,DANAAUDITORIUM1,LTCTR,P,125,423,A,0,16,2
972,DANAAUDITORIUM1,LTCTR,P,123,421,A,0,16,3
972,DANAAUDITORIUM1,LTCTR,P,121,419,A,0,16,4
972,DANAAUDITORIUM1,LTCTR,P,119,417,A,0,16,5
972,DANAAUDITORIUM1,LTCTR,P,117,415,A,0,16,6
972,DANAAUDITORIUM1,LTCTR,P,115,413,A,0,16,7
972,DANAAUDITORIUM1,LTCTR,P,113,411,A,0,16,8
972,DANAAUDITORIUM1,LTCTR,P,111,409,A,0,16,9
972,DANAAUDITORIUM1,LTCTR,P,109,407,A,0,16,10
972,DANAAUDITORIUM1,LTCTR,P,107,405,A,0,16,11
972,DANAAUDITORIUM1,LTCTR,P,105,403,A,0,16,12
972,DANAAUDITORIUM1,LTCTR,P,103,401,A,0,16,13
972,DANAAUDITORIUM1,LTCTR,P,101,399,A,1,16,14
972,DANAAUDITORIUM1,LTCTR,R,101,427,A,1,17,14
972,DANAAUDITORIUM1,LTCTR,R,127,453,A,1,17,1
972,DANAAUDITORIUM1,LTCTR,R,125,451,A,0,17,2
972,DANAAUDITORIUM1,LTCTR,R,123,449,A,0,17,3
972,DANAAUDITORIUM1,LTCTR,R,121,447,A,0,17,4
972,DANAAUDITORIUM1,LTCTR,R,119,445,A,0,17,5
972,DANAAUDITORIUM1,LTCTR,R,117,443,A,0,17,6
972,DANAAUDITORIUM1,LTCTR,R,115,441,A,0,17,7
972,DANAAUDITORIUM1,LTCTR,R,113,439,A,0,17,8
972,DANAAUDITORIUM1,LTCTR,R,111,437,A,0,17,9
972,DANAAUDITORIUM1,LTCTR,R,109,435,A,0,17,10
972,DANAAUDITORIUM1,LTCTR,R,107,433,A,0,17,11
972,DANAAUDITORIUM1,LTCTR,R,105,431,A,0,17,12
972,DANAAUDITORIUM1,LTCTR,R,103,429,A,0,17,13
972,DANAAUDITORIUM1,LTCTR,S,127,481,A,1,18,1
972,DANAAUDITORIUM1,LTCTR,S,125,479,A,0,18,2
972,DANAAUDITORIUM1,LTCTR,S,123,477,A,0,18,3
972,DANAAUDITORIUM1,LTCTR,S,121,475,A,0,18,4
972,DANAAUDITORIUM1,LTCTR,S,119,473,A,0,18,5
972,DANAAUDITORIUM1,LTCTR,S,117,471,A,0,18,6
972,DANAAUDITORIUM1,LTCTR,S,115,469,A,0,18,7
972,DANAAUDITORIUM1,LTCTR,S,113,467,A,0,18,8
972,DANAAUDITORIUM1,LTCTR,S,111,465,A,0,18,9
972,DANAAUDITORIUM1,LTCTR,S,109,463,A,0,18,10
972,DANAAUDITORIUM1,LTCTR,S,107,461,A,0,18,11
972,DANAAUDITORIUM1,LTCTR,S,105,459,A,0,18,12
972,DANAAUDITORIUM1,LTCTR,S,103,457,A,0,18,13
972,DANAAUDITORIUM1,LTCTR,S,101,455,A,1,18,14
972,DANAAUDITORIUM1,LTCTR,T,127,509,A,1,19,1
972,DANAAUDITORIUM1,LTCTR,T,125,507,A,0,19,2
972,DANAAUDITORIUM1,LTCTR,T,123,505,A,0,19,3
972,DANAAUDITORIUM1,LTCTR,T,121,503,A,0,19,4
972,DANAAUDITORIUM1,LTCTR,T,119,501,A,0,19,5
972,DANAAUDITORIUM1,LTCTR,T,117,499,A,0,19,6
972,DANAAUDITORIUM1,LTCTR,T,115,497,A,0,19,7
972,DANAAUDITORIUM1,LTCTR,T,113,495,A,0,19,8
972,DANAAUDITORIUM1,LTCTR,T,111,493,A,0,19,9
972,DANAAUDITORIUM1,LTCTR,T,109,491,A,0,19,10
972,DANAAUDITORIUM1,LTCTR,T,107,489,A,0,19,11
972,DANAAUDITORIUM1,LTCTR,T,105,487,A,0,19,12
972,DANAAUDITORIUM1,LTCTR,T,103,485,A,0,19,13
972,DANAAUDITORIUM1,LTCTR,T,101,483,A,1,19,14
972,DANAAUDITORIUM1,LTCTR,U,127,537,A,1,20,1
972,DANAAUDITORIUM1,LTCTR,U,125,535,A,0,20,2
972,DANAAUDITORIUM1,LTCTR,U,123,533,A,0,20,3
972,DANAAUDITORIUM1,LTCTR,U,121,531,A,0,20,4
972,DANAAUDITORIUM1,LTCTR,U,119,529,A,0,20,5
972,DANAAUDITORIUM1,LTCTR,U,117,527,A,0,20,6
972,DANAAUDITORIUM1,LTCTR,U,115,525,A,0,20,7
972,DANAAUDITORIUM1,LTCTR,U,113,523,A,0,20,8
972,DANAAUDITORIUM1,LTCTR,U,111,521,A,0,20,9
972,DANAAUDITORIUM1,LTCTR,U,109,519,A,0,20,10
972,DANAAUDITORIUM1,LTCTR,U,107,517,A,0,20,11
972,DANAAUDITORIUM1,LTCTR,U,105,515,A,0,20,12
972,DANAAUDITORIUM1,LTCTR,U,103,513,A,0,20,13
972,DANAAUDITORIUM1,LTCTR,U,101,511,A,1,20,14
972,DANAAUDITORIUM1,LTCTR,V,127,565,A,1,21,1
972,DANAAUDITORIUM1,LTCTR,V,125,563,A,0,21,2
972,DANAAUDITORIUM1,LTCTR,V,123,561,A,0,21,3
972,DANAAUDITORIUM1,LTCTR,V,121,559,A,0,21,4
972,DANAAUDITORIUM1,LTCTR,V,119,557,A,0,21,5
972,DANAAUDITORIUM1,LTCTR,V,117,555,A,0,21,6
972,DANAAUDITORIUM1,LTCTR,V,115,553,A,0,21,7
972,DANAAUDITORIUM1,LTCTR,V,113,551,A,0,21,8
972,DANAAUDITORIUM1,LTCTR,V,111,549,A,0,21,9
972,DANAAUDITORIUM1,LTCTR,V,109,547,A,0,21,10
972,DANAAUDITORIUM1,LTCTR,V,107,545,A,0,21,11
972,DANAAUDITORIUM1,LTCTR,V,105,543,A,0,21,12
972,DANAAUDITORIUM1,LTCTR,V,103,541,A,0,21,13
972,DANAAUDITORIUM1,LTCTR,V,101,539,A,1,21,14
